"nombre","reproducciones","oyentes","url","imagen_url"
"Drake","1187426442","6759065","https://www.last.fm/music/Drake","https://cdn-images.dzcdn.net/images/artist/eb0ed5b21d1ea5af021fc074ded0e91f/1000x1000-000000-80-0-0.jpg"
"Michael Jackson","373375792","6938550","https://www.last.fm/music/Michael+Jackson","https://cdn-images.dzcdn.net/images/artist/97fae13b2b30e4aec2e8c9e0c7839d92/1000x1000-000000-80-0-0.jpg"
"The Weeknd","1133083954","5349679","https://www.last.fm/music/The+Weeknd","https://cdn-images.dzcdn.net/images/artist/581693b4724a7fcfa754455101e13a44/1000x1000-000000-80-0-0.jpg"
"Kanye West","1555302899","7981191","https://www.last.fm/music/Kanye+West","https://cdn-images.dzcdn.net/images/artist/bb76c2ee3b068726ab4c37b0aabdb57a/1000x1000-000000-80-0-0.jpg"
"PinkPantheress","338537821","3121409","https://www.last.fm/music/PinkPantheress","https://cdn-images.dzcdn.net/images/artist/dbf10322b8c415487c9caa678f4d82f6/1000x1000-000000-80-0-0.jpg"
"Tame Impala","426387441","4433607","https://www.last.fm/music/Tame+Impala","https://cdn-images.dzcdn.net/images/artist/879015e713cc6ad6ffaeec154c027505/1000x1000-000000-80-0-0.jpg"
"Kendrick Lamar","1038540297","5125643","https://www.last.fm/music/Kendrick+Lamar","https://cdn-images.dzcdn.net/images/artist/be0a7c550567f4af0ed202d7235b74d6/1000x1000-000000-80-0-0.jpg"
"Rihanna","607848830","8332294","https://www.last.fm/music/Rihanna","https://cdn-images.dzcdn.net/images/artist/b78cdc205fae2641b89208e78b30e1b3/1000x1000-000000-80-0-0.jpg"
"Lady Gaga","1041476416","7755912","https://www.last.fm/music/Lady+Gaga","https://cdn-images.dzcdn.net/images/artist/7565262f7661b0d762621a8d69ba6f49/1000x1000-000000-80-0-0.jpg"
"Taylor Swift","3698834860","5967852","https://www.last.fm/music/Taylor+Swift","https://cdn-images.dzcdn.net/images/artist/e528e270424103b527f8a27ac625563b/1000x1000-000000-80-0-0.jpg"
"Radiohead","1384319506","8268602","https://www.last.fm/music/Radiohead","https://cdn-images.dzcdn.net/images/artist/96b688020014a21cb80a0268b90287f5/1000x1000-000000-80-0-0.jpg"
"Ariana Grande","1124434009","4511842","https://www.last.fm/music/Ariana+Grande","https://cdn-images.dzcdn.net/images/artist/3504ffe2519090026bc359b689d22e20/1000x1000-000000-80-0-0.jpg"
"Tyler, The Creator","1060268704","4357389","https://www.last.fm/music/Tyler,+The+Creator","https://cdn-images.dzcdn.net/images/artist/5eceecd683beab6dd901a7931294a121/1000x1000-000000-80-0-0.jpg"
"Charli xcx","729367415","3800318","https://www.last.fm/music/Charli+xcx","https://cdn-images.dzcdn.net/images/artist/5a4f593c65c71292b4389e871f76c023/1000x1000-000000-80-0-0.jpg"
"Justin Bieber","342182140","4877895","https://www.last.fm/music/Justin+Bieber","https://cdn-images.dzcdn.net/images/artist/fe097f693cebf1f882e3da79e99e3bf9/1000x1000-000000-80-0-0.jpg"
"Sabrina Carpenter","676582900","3279912","https://www.last.fm/music/Sabrina+Carpenter","https://cdn-images.dzcdn.net/images/artist/4a9cdc7737e2a0e59b4917b47884b859/1000x1000-000000-80-0-0.jpg"
"Lana Del Rey","1592727299","5287567","https://www.last.fm/music/Lana+Del+Rey","https://cdn-images.dzcdn.net/images/artist/8994d3be1a59a72f887f1f8afd2d4c6c/1000x1000-000000-80-0-0.jpg"
"Billie Eilish","844175318","4258866","https://www.last.fm/music/Billie+Eilish","https://cdn-images.dzcdn.net/images/artist/8eab1a9a644889aabaca1e193e05f984/1000x1000-000000-80-0-0.jpg"
"Arctic Monkeys","940934005","7133571","https://www.last.fm/music/Arctic+Monkeys","https://cdn-images.dzcdn.net/images/artist/6c03e4c7c36800897fd468633286db24/1000x1000-000000-80-0-0.jpg"
