"tag","fecha_desde","fecha_hasta","nombre","artista","oyentes","url","imagen_url"
"k-pop","1777809600","1778414400","Ditto","NewJeans","N/A","https://www.last.fm/music/NewJeans/_/Ditto","https://lastfm.freetls.fastly.net/i/u/300x300/6f9983f2b539275c1aa94a21022eeaec.png"
"k-pop","1777809600","1778414400","DNA","BTS","N/A","https://www.last.fm/music/BTS/_/DNA","https://lastfm.freetls.fastly.net/i/u/300x300/fac6de5d84939bd32422547cacb123fe.png"
"k-pop","1777809600","1778414400","FANCY","TWICE","N/A","https://www.last.fm/music/TWICE/_/FANCY","https://lastfm.freetls.fastly.net/i/u/300x300/0f19344716dd5385be0687fc49d3a4bf.png"
"k-pop","1777809600","1778414400","FAKE LOVE","BTS","N/A","https://www.last.fm/music/BTS/_/FAKE+LOVE","https://lastfm.freetls.fastly.net/i/u/300x300/1c1100b20e2eb165f9093a8b6ca5a6ed.png"
"k-pop","1777809600","1778414400","Gee","소녀시대","N/A","https://www.last.fm/music/%EC%86%8C%EB%85%80%EC%8B%9C%EB%8C%80/_/Gee","https://lastfm.freetls.fastly.net/i/u/300x300/6622309ae28a45c9801b494869b0cb1d.png"
"k-pop","1777809600","1778414400","ANTIFRAGILE","LE SSERAFIM","N/A","https://www.last.fm/music/LE+SSERAFIM/_/ANTIFRAGILE","https://lastfm.freetls.fastly.net/i/u/300x300/47403415f97336603c88ea4c1062d4b1.png"
"k-pop","1777809600","1778414400","The Feels","TWICE","N/A","https://www.last.fm/music/TWICE/_/The+Feels","https://lastfm.freetls.fastly.net/i/u/300x300/799889a45a0aed866919708e1c6913a2.png"
"k-pop","1777809600","1778414400","What is Love?","TWICE","N/A","https://www.last.fm/music/TWICE/_/What+is+Love%3F","https://lastfm.freetls.fastly.net/i/u/300x300/86ac21ab36bbd416b225228745866bfe.png"
"k-pop","1777809600","1778414400","Tell Me","Wonder Girls","N/A","https://www.last.fm/music/Wonder+Girls/_/Tell+Me","https://lastfm.freetls.fastly.net/i/u/300x300/47b9e96b40d3a6296f3e916b81f2c3e5.png"
"k-pop","1777809600","1778414400","Pink Venom","BLACKPINK","N/A","https://www.last.fm/music/BLACKPINK/_/Pink+Venom","https://lastfm.freetls.fastly.net/i/u/300x300/1386df18af239aa912623b9f035a3a8a.png"
"k-pop","1777809600","1778414400","GENIE","소녀시대","N/A","https://www.last.fm/music/%EC%86%8C%EB%85%80%EC%8B%9C%EB%8C%80/_/GENIE","https://lastfm.freetls.fastly.net/i/u/300x300/a4da6ec67e8c9f3747565b08e0d31b4c.png"
"k-pop","1777809600","1778414400","Golden","HUNTR/X","N/A","https://www.last.fm/music/HUNTR%2FX/_/Golden","https://lastfm.freetls.fastly.net/i/u/300x300/cdf1c868860e873f4c46df1d7f87c0ed.png"
