nombre,artista,reproducciones,url,imagen_url,audio_url
Don’t Say You Love Me,Jin,295248759,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me,https://lastfm.freetls.fastly.net/i/u/300x300/a363a7b06089ccc1d7c86c8a4068be4f.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/1c/a0/1b/1ca01b1e-2bd5-e842-f856-c666781c5db5/mzaf_15204525306398735324.plus.aac.p.m4a
Who,Jimin,245452178,https://www.last.fm/music/Jimin/_/Who,https://lastfm.freetls.fastly.net/i/u/300x300/1c64927938d97f9963a80442ebd384b0.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e0/4c/2e/e04c2ec5-a0b7-931d-650b-88835b2581f7/mzaf_2267478480024914666.plus.aac.p.m4a
Haegeum,Agust D,240571835,https://www.last.fm/music/Agust+D/_/Haegeum,https://lastfm.freetls.fastly.net/i/u/300x300/35417d78b646cb02aa708a72dd23aa7e.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/67/12/f0/6712f0d3-5553-d04f-c199-79ad555da68a/mzaf_10320130485162818014.plus.aac.p.m4a
Like Crazy,Jimin,204026230,https://www.last.fm/music/Jimin/_/Like+Crazy,https://lastfm.freetls.fastly.net/i/u/300x300/269bc4df38f43f4f72bd31c9bfdbf020.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/15/b0/3e/15b03e6e-18e8-350b-ad52-e92a2a1a64f1/mzaf_5780798335117095057.plus.aac.p.m4a
Standing Next to You,Jung Kook,175515329,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You,https://lastfm.freetls.fastly.net/i/u/300x300/af7bea2e00fcd9a384e4a5e040896954.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/17/e4/44/17e4443f-ccac-37e9-ae7e-c27652c8bb7c/mzaf_1611321858020850805.plus.aac.p.m4a
Dynamite,BTS,175215510,https://www.last.fm/music/BTS/_/Dynamite,https://lastfm.freetls.fastly.net/i/u/300x300/34e95ab51d54169a29c1e8623b07682a.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/3b/f2/5c/3bf25cc9-a395-6858-1ef8-5c29956afaf6/mzaf_6007556042949037280.plus.aac.p.m4a
SWIM,BTS,171683391,https://www.last.fm/music/BTS/_/SWIM,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e7/ce/b3/e7ceb389-cb23-f708-cbdb-ff874be51365/mzaf_3407006493764005509.plus.aac.p.m4a
Life Goes On,BTS,157517112,https://www.last.fm/music/BTS/_/Life+Goes+On,https://lastfm.freetls.fastly.net/i/u/300x300/9380aeba3b3430e154263fc4bfae7efb.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/7f/63/1c/7f631c84-92f2-0805-22cf-8b15ddae12ce/mzaf_7122502015402982287.plus.aac.p.m4a
Butter,BTS,148997489,https://www.last.fm/music/BTS/_/Butter,https://lastfm.freetls.fastly.net/i/u/300x300/8b40692a1133af4047cebebc2e67280b.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/f4/80/70/f48070d2-3802-520b-c724-c367125ef2a5/mzaf_16052369757637658622.plus.aac.p.m4a
Love Me Again,V,141978632,https://www.last.fm/music/V/_/Love+Me+Again,https://lastfm.freetls.fastly.net/i/u/300x300/7ac15269581edd3802d91d781a6e524e.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/97/5e/ae/975eaeaf-c70f-70d5-c1a8-ccf1b5342362/mzaf_119900815247658270.plus.aac.p.m4a
FAKE LOVE,BTS,131198713,https://www.last.fm/music/BTS/_/FAKE+LOVE,https://lastfm.freetls.fastly.net/i/u/300x300/1c1100b20e2eb165f9093a8b6ca5a6ed.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/0b/d4/c9/0bd4c96a-42f9-ba5b-61ae-b892eedc07bb/mzaf_13192440704264218610.plus.aac.p.m4a
Running Wild,Jin,126857654,https://www.last.fm/music/Jin/_/Running+Wild,https://lastfm.freetls.fastly.net/i/u/300x300/bd5d96111908e5538698a88a4c272304.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/d7/89/ba/d789bae8-5816-a1fd-02fc-6fd59daccdd8/mzaf_14836625345638693244.plus.aac.p.m4a
Wild Flower (with youjeen),RM,124777821,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen),https://lastfm.freetls.fastly.net/i/u/300x300/31fcd44bc68db7054d4ae598ad9e9d94.png,
Winter Ahead (with PARK HYO SHIN),V,118486322,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN),https://lastfm.freetls.fastly.net/i/u/300x300/f1a24e3d0934347601dd7445f7a970a3.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/2b/3e/8f/2b3e8f3d-0482-2c08-e9ad-bd01ed56ed3e/mzaf_11471855653735578705.plus.aac.p.m4a
Seven (feat. Latto) (Explicit Ver.),Jung Kook,105685217,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.),https://lastfm.freetls.fastly.net/i/u/300x300/fd1f2f9210b0be963dfdc17d50a3df21.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e5/dd/c1/e5ddc11a-cca1-86eb-bc36-5cae9869dded/mzaf_2438982977131590749.plus.aac.p.m4a
The Astronaut,Jin,101141331,https://www.last.fm/music/Jin/_/The+Astronaut,https://lastfm.freetls.fastly.net/i/u/300x300/e16a86d403571a3fe3e844a5af603466.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/bc/5c/5c/bc5c5ca1-0aa1-457d-65ce-f0f56f8a8245/mzaf_11842850878820829235.plus.aac.p.m4a
Killin' It Girl (feat. GloRilla),j-hope,99508190,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla),,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/13/f4/af/13f4af98-64f4-f5b0-5d25-0d63c28c6784/mzaf_12238862936597073498.plus.aac.p.m4a
FRI(END)S,V,93692022,https://www.last.fm/music/V/_/FRI(END)S,https://lastfm.freetls.fastly.net/i/u/300x300/d75d4b3735dbf2a58f716da801c33894.png,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/11/77/c2/1177c2a7-86d9-578c-e6e2-79742b98cfcf/mzaf_5614857226791753048.plus.aac.p.m4a
