nombre,artista,reproducciones,url,imagen_url
Stateside + Zara Larsson,PinkPantheress,20466961,https://www.last.fm/music/PinkPantheress/_/Stateside+%252B+Zara+Larsson,
drop dead,Olivia Rodrigo,7056887,https://www.last.fm/music/Olivia+Rodrigo/_/drop+dead,https://lastfm.freetls.fastly.net/i/u/300x300/83ab92064fe63e2c93b44c7acc24297f.png
Beauty and a Beat,Justin Bieber,16924896,https://www.last.fm/music/Justin+Bieber/_/Beauty+and+a+Beat,https://lastfm.freetls.fastly.net/i/u/300x300/ca337a40bbb78937bf330454761ee592.png
Billie Jean,Michael Jackson,26298777,https://www.last.fm/music/Michael+Jackson/_/Billie+Jean,https://lastfm.freetls.fastly.net/i/u/300x300/6e2894e4edba9f42ee448670a59fc12e.png
Earrings,Malcolm Todd,9309173,https://www.last.fm/music/Malcolm+Todd/_/Earrings,
Babydoll,Dominic Fike,25567134,https://www.last.fm/music/Dominic+Fike/_/Babydoll,https://lastfm.freetls.fastly.net/i/u/300x300/dc877a47d3e62e46a455b27d3da3bcaa.png
Beat It,Michael Jackson,19104782,https://www.last.fm/music/Michael+Jackson/_/Beat+It,https://lastfm.freetls.fastly.net/i/u/300x300/36577e77dabeb2aed157e98c8924d436.png
Dracula,Tame Impala,11501243,https://www.last.fm/music/Tame+Impala/_/Dracula,https://lastfm.freetls.fastly.net/i/u/300x300/b54c44fa13530ee2e088e13096becaf2.png
SWIM,BTS,154102253,https://www.last.fm/music/BTS/_/SWIM,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
Fame Is a Gun,Addison Rae,20857152,https://www.last.fm/music/Addison+Rae/_/Fame+Is+a+Gun,https://lastfm.freetls.fastly.net/i/u/300x300/d39fef9e3791de69fce533b6e2b17f9d.png
Midnight Sun,Zara Larsson,12679996,https://www.last.fm/music/Zara+Larsson/_/Midnight+Sun,https://lastfm.freetls.fastly.net/i/u/300x300/d0c78dc3a80e2e45ac4972089360a051.png
Dracula - JENNIE remix,Tame Impala,5002683,https://www.last.fm/music/Tame+Impala/_/Dracula+-+JENNIE+remix,https://lastfm.freetls.fastly.net/i/u/300x300/96b82343a6f744392402bd9df8267d2f.png
The Less I Know the Better,Tame Impala,48829338,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.png
Don't Stop 'Til You Get Enough,Michael Jackson,8020647,https://www.last.fm/music/Michael+Jackson/_/Don%27t+Stop+%27Til+You+Get+Enough,https://lastfm.freetls.fastly.net/i/u/300x300/36577e77dabeb2aed157e98c8924d436.png
Manchild,Sabrina Carpenter,25708354,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,https://lastfm.freetls.fastly.net/i/u/300x300/8e610896b56f76ff52c3ee85b1af5257.png
Body to Body,BTS,45312021,https://www.last.fm/music/BTS/_/Body+to+Body,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
Hooligan,BTS,43380387,https://www.last.fm/music/BTS/_/Hooligan,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
505,Arctic Monkeys,58222273,https://www.last.fm/music/Arctic+Monkeys/_/505,https://lastfm.freetls.fastly.net/i/u/300x300/4debfeb504dc47779f0ff3df43fd9529.png
2.0,BTS,42891711,https://www.last.fm/music/BTS/_/2.0,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
House Tour,Sabrina Carpenter,13361530,https://www.last.fm/music/Sabrina+Carpenter/_/House+Tour,https://lastfm.freetls.fastly.net/i/u/300x300/84781e6b0bd2bb2f63b4ecf944d7fb32.png
Mr. Brightside,The Killers,51315109,https://www.last.fm/music/The+Killers/_/Mr.+Brightside,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.png
Rock Music,Charli xcx,489799,https://www.last.fm/music/Charli+xcx/_/Rock+Music,https://lastfm.freetls.fastly.net/i/u/300x300/036a2afdf107b41cc835fbbe673f55df.png
FYA,BTS,41648827,https://www.last.fm/music/BTS/_/FYA,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
Creep,Radiohead,60659904,https://www.last.fm/music/Radiohead/_/Creep,https://lastfm.freetls.fastly.net/i/u/300x300/03327d30bc3de35afb8cab929a3055f3.png
The One That Got Away,Katy Perry,20344480,https://www.last.fm/music/Katy+Perry/_/The+One+That+Got+Away,https://lastfm.freetls.fastly.net/i/u/300x300/9a9141d83ebd9056e7a212b3bb493ac3.png
back to friends,sombr,25046048,https://www.last.fm/music/sombr/_/back+to+friends,https://lastfm.freetls.fastly.net/i/u/300x300/afd68432bf916d1a6cab27c04b6c0e72.png
End of Beginning,Djo,34904041,https://www.last.fm/music/Djo/_/End+of+Beginning,https://lastfm.freetls.fastly.net/i/u/300x300/ffdc425993df98b4a3d40d92dcc2a331.png
they don’t know ’bout us,BTS,39440823,https://www.last.fm/music/BTS/_/they+don%E2%80%99t+know+%E2%80%99bout+us,https://lastfm.freetls.fastly.net/i/u/300x300/b0a65245088e40558461c3716c571dcb.png
Human Nature,Michael Jackson,7909629,https://www.last.fm/music/Michael+Jackson/_/Human+Nature,https://lastfm.freetls.fastly.net/i/u/300x300/6e2894e4edba9f42ee448670a59fc12e.png
"Good Luck, Babe!",Chappell Roan,60167763,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21",https://lastfm.freetls.fastly.net/i/u/300x300/86fa0d410ba70ada74d22cf4b690b05b.png
Chicago,Michael Jackson,12092667,https://www.last.fm/music/Michael+Jackson/_/Chicago,https://lastfm.freetls.fastly.net/i/u/300x300/b366cff64b1e4757c7f64e117142baa5.png
See You Again (feat. Kali Uchis),"Tyler, The Creator",57714355,"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)",https://lastfm.freetls.fastly.net/i/u/300x300/0a0f5279471dc1e490b3b6a99e8734c5.png
Aliens,BTS,41472965,https://www.last.fm/music/BTS/_/Aliens,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
No One Noticed,The Marías,33690835,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed,https://lastfm.freetls.fastly.net/i/u/300x300/ff18c3c08f0e1c85d62eeee24d1154e9.png
Like Animals,BTS,40461942,https://www.last.fm/music/BTS/_/Like+Animals,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
Sweater Weather,The Neighbourhood,50266295,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,https://lastfm.freetls.fastly.net/i/u/300x300/d787d7eb7324e25dfb03dd9c0220d818.png
NORMAL,BTS,42614458,https://www.last.fm/music/BTS/_/NORMAL,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
Iris,The Goo Goo Dolls,31597825,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris,https://lastfm.freetls.fastly.net/i/u/300x300/f650f979f3613c2f3f32570500350552.png
Bring Your Love,Madonna,718442,https://www.last.fm/music/Madonna/_/Bring+Your+Love,https://lastfm.freetls.fastly.net/i/u/300x300/0cfdaf8777a8e79fda163d0ee6575916.png
Confident,Justin Bieber,13429324,https://www.last.fm/music/Justin+Bieber/_/Confident,https://lastfm.freetls.fastly.net/i/u/300x300/1ccd7ad9cd144f30cfd899c0000a9a63.png
Sweet Boy,Malcolm Todd,10075473,https://www.last.fm/music/Malcolm+Todd/_/Sweet+Boy,https://lastfm.freetls.fastly.net/i/u/300x300/0cd277415132b376aa2e55ce1fe68add.png
PINKY UP,KATSEYE,3467457,https://www.last.fm/music/KATSEYE/_/PINKY+UP,https://lastfm.freetls.fastly.net/i/u/300x300/ae2620365c906a1a92ac78ae2fbd4496.png
Rock With You - Single Version,Michael Jackson,11193716,https://www.last.fm/music/Michael+Jackson/_/Rock+With+You+-+Single+Version,https://lastfm.freetls.fastly.net/i/u/300x300/7b25cd5717d528dbf880808e58a0ec3d.png
Lovers Rock,TV Girl,50482846,https://www.last.fm/music/TV+Girl/_/Lovers+Rock,https://lastfm.freetls.fastly.net/i/u/300x300/4f091d5082e04691c6d7f4b2e2efbdc0.png
Dreams - 2004 Remaster,Fleetwood Mac,28641286,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster,https://lastfm.freetls.fastly.net/i/u/300x300/eeb5daab500d160f2ba745fdb1e79692.png
Please,BTS,39001375,https://www.last.fm/music/BTS/_/Please,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
Smooth Criminal - 2012 Remaster,Michael Jackson,8630403,https://www.last.fm/music/Michael+Jackson/_/Smooth+Criminal+-+2012+Remaster,https://lastfm.freetls.fastly.net/i/u/300x300/3a1224fa5a5735a9a0f92391c4bda67c.png
Flashing Lights,Kanye West,37396445,https://www.last.fm/music/Kanye+West/_/Flashing+Lights,https://lastfm.freetls.fastly.net/i/u/300x300/8ddd1959a2bef460a5149b3e0cf5e18a.png
Merry Go Round,BTS,39953827,https://www.last.fm/music/BTS/_/Merry+Go+Round,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
